BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
   11.66929     1.5185E+00     5.3440E-01    -9.0752E-03    -3.7058E-02     0.0000E+00     2.2186-314     6.7700E-05
   11.77734     1.5169E+00     5.3524E-01    -1.4704E-02    -3.3880E-02     0.0000E+00     2.2186-314    -1.1499E-02
   11.88539     1.5128E+00     5.3744E-01    -3.8301E-02    -2.5604E-02     0.0000E+00     2.2186-314    -1.3439E-02
   11.99344     1.5061E+00     5.4101E-01    -6.1667E-02    -1.2278E-02     0.0000E+00     2.2186-314    -2.5537E-03
   12.10149     1.4994E+00     5.4467E-01    -6.2658E-02     1.2626E-03     0.0000E+00     2.2186-314     5.4241E-03
   12.20954     1.4942E+00     5.4749E-01    -4.7577E-02     1.1544E-02     0.0000E+00     2.2186-314    -1.2067E-03
   12.31758     1.4896E+00     5.5005E-01    -4.3047E-02     2.0846E-02     0.0000E+00     2.2186-314     7.7332E-03
   12.42563     1.4872E+00     5.5136E-01    -2.1768E-02     2.5550E-02     0.0000E+00     2.2186-314    -8.0606E-04
   12.53368     1.4855E+00     5.5234E-01    -1.6243E-02     2.9060E-02     0.0000E+00     2.2186-314    -2.1433E-03
   12.64173     1.4841E+00     5.5312E-01    -1.2896E-02     3.1847E-02     0.0000E+00     2.2186-314    -1.7650E-03
   12.74978     1.4831E+00     5.5364E-01    -8.6920E-03     3.3726E-02     0.0000E+00     2.2186-314     8.6592E-03
   12.85783     1.4846E+00     5.5282E-01     1.3570E-02     3.0793E-02     0.0000E+00     2.2186-314     5.3288E-03
   12.96588     1.4875E+00     5.5119E-01     2.7128E-02     2.4931E-02     0.0000E+00     2.2186-314     6.9819E-04
   13.07393     1.4908E+00     5.4939E-01     3.0067E-02     1.8433E-02     0.0000E+00     2.2186-314    -3.7088E-04
   13.18198     1.4940E+00     5.4762E-01     2.9638E-02     1.2029E-02     0.0000E+00     2.2186-314     1.8951E-03
   13.29003     1.4974E+00     5.4573E-01     3.1955E-02     5.1234E-03     0.0000E+00     2.2186-314    -3.4006E-03
   13.39807     1.5000E+00     5.4433E-01     2.3767E-02    -1.2498E-05     0.0000E+00     2.2186-314     2.8292E-03
   13.50612     1.5028E+00     5.4280E-01     2.6089E-02    -5.6503E-03     0.0000E+00     2.2186-314     2.4429E-03
   13.61417     1.5057E+00     5.4125E-01     2.6489E-02    -1.1374E-02     0.0000E+00     2.2186-314    -1.0148E-02
   13.72222     1.5062E+00     5.4097E-01     4.7317E-03    -1.2397E-02     0.0000E+00     2.2186-314    -3.9164E-03
   13.83027     1.5057E+00     5.4124E-01    -4.5443E-03    -1.1415E-02     0.0000E+00     2.2186-314    -9.8855E-04
   13.93832     1.5049E+00     5.4170E-01    -7.8381E-03    -9.7211E-03     0.0000E+00     2.2186-314     8.8540E-03
   14.04637     1.5055E+00     5.4135E-01     5.9932E-03    -1.1016E-02     0.0000E+00     2.2186-314    -8.4608E-03
   14.15442     1.5043E+00     5.4198E-01    -1.0781E-02    -8.6864E-03     0.0000E+00     2.2186-314    -1.6812E-03
   14.26247     1.5028E+00     5.4280E-01    -1.4149E-02    -5.6288E-03     0.0000E+00     2.2186-314    -8.7860E-03
   14.37052     1.4997E+00     5.4448E-01    -2.8600E-02     5.5164E-04     0.0000E+00     2.2186-314    -3.4879E-03
   14.47856     1.4963E+00     5.4635E-01    -3.1681E-02     7.3979E-03     0.0000E+00     2.2186-314    -9.1838E-03
   14.58661     1.4917E+00     5.4890E-01    -4.2914E-02     1.6672E-02     0.0000E+00     2.2186-314    -7.3409E-04
